티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
006390,한일현대시멘트,KOSPI,18827,8.4,0.88,1971,3.62,600,19327672.0
003570,SNT다이내믹스,KOSPI,29430,9.52,0.33,1027,5.11,500,33252697.0
029530,신도리코,KOSPI,109950,6.55,0.3,5007,4.57,1500,10080029.0
003220,대원제약,KOSPI,11967,11.21,1.41,1510,2.07,350,21964670.0
003120,일성신약,KOSPI,60174,1.55,0.36,14122,18.33,4005,13300000.0
084010,대한제강,KOSPI,38135,1.89,0.33,6605,6.24,780,24646734.0
007570,일양약품,KOSPI,12974,15.78,1.26,1036,0.92,150,19085664.0
005500,삼진제약,KOSPI,20811,12.85,1.07,1728,3.6,800,13900000.0
008490,서흥,KOSPI,37893,8.97,0.72,3056,1.46,400,11569113.0
009160,SIMPAC,KOSPI,11050,3.05,0.38,1381,4.75,200,65429516.0
072710,농심홀딩스,KOSPI,231914,9.45,0.3,7353,3.6,2500,4637790.0
002320,한진,KOSPI,96471,6.58,0.22,3290,2.77,600,14947628.0
002960,한국쉘석유,KOSPI,86889,10.99,2.6,20555,7.96,18000,1300000.0
126720,수산인더스트리,KOSPI,32090,5.66,0.62,3544,2.99,600,14286000.0
002900,TYM,KOSPI,7778,2.56,0.74,2262,5.18,300,45050956.0
001940,KISCO홀딩스,KOSPI,75645,3.12,0.24,5760,3.34,600,16176380.0
053690,한미글로벌,KOSPI,17414,9.9,1.39,2449,2.27,550,10957550.0
001880,DL건설,KOSPI,45294,4.76,0.26,2445,2.15,250,22053284.0
001500,현대차증권,KOSPI,38617,3.18,0.22,2654,6.51,550,31712562.0
104700,한국철강,KOSPI,20372,2.91,0.29,2055,5.03,300,42450000.0
036530,SNT홀딩스,KOSPI,68239,4.47,0.23,3556,4.4,700,16303886.0
001460,BYC,KOSPI,825735,9.6,0.49,42272,0.74,3000,624615.0
213500,한솔제지,KOSPI,31224,3.35,0.33,3104,6.73,700,23800576.0
037710,광주신세계,KOSPI,99270,4.48,0.32,7157,6.86,2200,7957190.0
016580,환인제약,KOSPI,21845,9.56,0.69,1567,2.0,300,18600070.0
000490,대동,KOSPI,15973,5.58,0.63,1812,0.99,100,24065625.0
029460,케이씨,KOSPI,58058,2.27,0.32,8092,1.91,350,13554044.0
293480,하나제약,KOSPI,15515,10.21,0.92,1405,3.55,510,17772946.0
035510,신세계 I&C,KOSPI,27495,2.07,0.48,6381,3.79,500,17200000.0
003070,코오롱글로벌,KOSPI,22544,1.94,0.49,5710,3.6,400,18932713.0
055490,테이팩스,KOSPI,31365,9.11,1.17,4013,2.46,900,4757650.0
003960,사조대림,KOSPI,67677,2.91,0.42,9689,1.24,350,9164467.0
016590,신대양제지,KOSPI,15417,4.13,0.35,1319,2.29,125,40297820.0
004360,세방,KOSPI,54430,2.41,0.21,4819,2.59,300,19308690.0
002810,삼영무역,KOSPI,26238,4.06,0.47,3054,4.84,600,18466948.0
002020,코오롱,KOSPI,76319,1.8,0.24,10012,3.05,550,12626426.0
004560,현대비앤지스틸,KOSPI,34806,7.22,0.36,1715,0.81,100,15078811.0
003200,일신방직,KOSPI,39009,1.85,0.24,5047,5.35,500,23280000.0
001270,부국증권,KOSPI,116987,4.69,0.19,4736,6.76,1500,10369886.0
107590,미원홀딩스,KOSPI,95466,10.77,0.98,8717,0.75,700,2320000.0
001230,동국홀딩스,KOSPI,34362,2.45,0.32,4474,4.56,500,15926064.0
001130,대한제분,KOSPI,558185,5.26,0.23,24697,1.93,2500,1690000.0
025000,KPX케미칼,KOSPI,122776,7.27,0.36,6015,6.29,2750,4840000.0
015230,대창단조,KOSPI,9161,4.8,0.74,1417,2.94,200,28572230.0
317400,자이에스앤디,KOSPI,12735,2.1,0.4,2447,5.84,300,38782520.0
092230,KPX홀딩스,KOSPI,210854,21.86,0.23,2267,6.05,3000,4224646.0
000140,하이트진로홀딩스,KOSPI,26118,6.05,0.33,1427,5.79,500,23206765.0
030210,다올투자증권,KOSPI,11357,3.66,0.33,1019,4.03,150,60911106.0
015890,태경산업,KOSPI,10077,7.32,0.84,1154,3.55,300,29228750.0
007860,서연,KOSPI,24599,2.56,0.32,3034,1.29,100,23479844.0
007160,사조산업,KOSPI,102866,2.83,0.38,13998,0.88,350,5000000.0
000540,흥국화재,KOSPI,11208,1.34,0.26,2142,0.0,0,64242645.0
002100,경농,KOSPI,12997,6.62,0.77,1503,4.02,400,19522575.0
044450,KSS해운,KOSPI,17995,4.07,0.46,2016,4.27,350,23085880.0
012320,경동인베스트,KOSPI,205405,15.51,0.49,6519,0.74,750,2365023.0
068290,삼성출판사,KOSPI,17559,14.88,1.0,1179,1.14,200,10000000.0
008260,NI스틸,KOSPI,6580,3.48,0.9,1706,1.69,100,28600117.0
014280,금강공업,KOSPI,13661,3.18,0.45,1933,1.95,120,29329357.0
035150,백산,KOSPI,7626,4.11,1.01,1882,1.94,150,23010000.0
010100,한국무브넥스,KOSPI,9592,4.15,0.47,1095,1.54,70,30450420.0
194370,제이에스코퍼레이션,KOSPI,20205,2.54,0.64,5118,6.54,850,13335601.0
001080,만호제강,KOSPI,79971,18.77,0.51,2168,0.61,250,4150000.0
